restaurant_id,google_maps_url,google_rating,google_price_level
192,https://maps.google.com/?cid=15487458085899557598,3.7,1
193,https://maps.google.com/?cid=8506076560359997359,4.2,2
194,https://maps.google.com/?cid=11876493694413647283,4.2,1
195,https://maps.google.com/?cid=9758189877393522658,3.4,1
196,https://maps.google.com/?cid=4442482484205730940,4.2,2
197,https://maps.google.com/?cid=16859437878295581170,4.7,2
198,https://maps.google.com/?cid=4276504518141370242,4.2,2
199,https://maps.google.com/?cid=17915212838254735943,4.5,2
200,https://maps.google.com/?cid=13753811498238394627,4.4,2
201,https://maps.google.com/?cid=9868626070492960122,4.3,2
202,https://maps.google.com/?cid=15943162291978972747,4.3,2
203,https://maps.google.com/?cid=4813590629084799126,2.0,1
204,https://maps.google.com/?cid=6404247220663613757,3.0,0
205,https://maps.google.com/?cid=18441141272362837293,4.1,1
206,https://maps.google.com/?cid=4092356943648449316,4.2,2
207,https://maps.google.com/?cid=8955833795749272411,4.7,3
208,https://maps.google.com/?cid=1088079858894597964,4.1,1
209,https://maps.google.com/?cid=4001882082152711021,4.3,2
210,https://maps.google.com/?cid=9438983651323999136,3.8,2
211,https://maps.google.com/?cid=10403702132012414289,4.0,1
212,https://maps.google.com/?cid=14230488623263707898,4.4,2
213,https://maps.google.com/?cid=6914698908184531204,4.5,2
214,https://maps.google.com/?cid=5567991018257829644,4.2,2
215,https://maps.google.com/?cid=8829181270690114137,4.2,2
216,https://maps.google.com/?cid=2992636984276571735,4.5,2
217,https://maps.google.com/?cid=18294957580958501010,4.3,1
218,https://maps.google.com/?cid=11322573582573808952,4.3,1
219,https://maps.google.com/?cid=15441112431270303937,4.3,2
220,https://maps.google.com/?cid=2570151075624371549,4.7,3
221,https://maps.google.com/?cid=9567738867817726300,4.3,2
222,https://maps.google.com/?cid=4102654812860876350,3.3,0
223,https://maps.google.com/?cid=988616558136395800,4.3,1
224,https://maps.google.com/?cid=13163123161239784703,4.3,0
225,https://maps.google.com/?cid=8636299427496089644,3.2,1
226,https://maps.google.com/?cid=6935094226874993620,3.9,2
227,https://maps.google.com/?cid=15590814355134666956,3.7,0
228,https://maps.google.com/?cid=9251705817269319670,5.0,1
229,https://maps.google.com/?cid=8788762826948048796,4.5,1
230,https://maps.google.com/?cid=11036120585758213103,4.7,0
231,https://maps.google.com/?cid=5833891813601775968,4.5,1
232,https://maps.google.com/?cid=16915826611388057835,4.6,0
233,https://maps.google.com/?cid=4409431955451413106,4.3,2
234,https://maps.google.com/?cid=2900328314773347388,4.8,1
235,https://maps.google.com/?cid=9437027481512142371,4.4,2
236,https://maps.google.com/?cid=17372980740164026377,4.5,0
237,https://maps.google.com/?cid=6220902084401314304,4.0,2
238,https://maps.google.com/?cid=16313485564851187168,4.2,2
