,restaurant_name,place_id,price_level,restaurant_rating,google_maps_url,address,restaurant_website
24,Hibernia Diner Restaurant,ChIJBbQd1tULw4kRbYO2A42KiTc,2.0,4.3,https://maps.google.com/?cid=4001882082152711021,"9 Green Pond Rd, Rockaway, NJ 07866, USA",http://www.hiberniadiner.com/
25,Subway,ChIJDX72ShOgw4kRLPA4fYT9Wjs,1.0,3.9,https://maps.google.com/?cid=4277009541620101164,"148 Center Grove Rd, Randolph, NJ 07869, USA",https://order.subway.com/en-us/restaurant/46636/menu/?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=46636&utm_campaign=evergreen-2020&y_source=1_MTQ5MDk4MjQtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl
26,Verde Ristorante,ChIJmV1dON8Jw4kRM2Qaat3XdIo,2.0,4.5,https://maps.google.com/?cid=9976836420500350003,"1012 Tabor Rd, Morris Plains, NJ 07950, USA",http://verderistorante.com/
27,Red Robin Gourmet Burgers and Brews,ChIJX3006bELw4kRoPPi-Z4B_oI,2.0,3.8,https://maps.google.com/?cid=9438983651323999136,"301 Mt Hope Ave, Rockaway, NJ 07866, USA",https://redrobin.com/locations/rockaway
28,Mario's Famous Pizza,ChIJyeZbFnkKw4kRUfWSx_dfYZA,1.0,4.0,https://maps.google.com/?cid=10403702132012414289,"140 Rte 10 West, Randolph, NJ 07869, USA",http://www.mariosfamouspizza.com/
29,La Cucina,ChIJ462p2QcJw4kR1rdphFaxtRU,2.0,4.5,https://maps.google.com/?cid=1564351430727940054,"278 Diamond Spring Rd, Denville, NJ 07834, USA",http://www.lacucina-denville.com/
30,Cafe metro,ChIJc1toB5gJw4kR-vLeqQHafMU,2.0,4.4,https://maps.google.com/?cid=14230488623263707898,"Diamond Spring Rd, Denville, NJ 07834, USA",http://www.thecafemetro.com/
31,Thai Nam Phet,ChIJWcd-qWoKw4kRBNEedwXy9V8,2.0,4.5,https://maps.google.com/?cid=6914698908184531204,"296 US-46 A, Rockaway, NJ 07866, USA",http://www.thainamphet.com/
32,Randolph Diner,ChIJH7kOUxOgw4kRDM_So1R6RU0,2.0,4.2,https://maps.google.com/?cid=5567991018257829644,"517 NJ-10 E, Randolph, NJ 07869, USA",https://www.therandolphdiner.com/
33,Townsquare Diner,ChIJYaVpPegKw4kRWSoEMZaNh3o,2.0,4.2,https://maps.google.com/?cid=8829181270690114137,"320 NJ-15, Wharton, NJ 07885, USA",http://townsquare-diner.com/
