,restaurant_id,google_price_level,google_rating,google_maps_url
108,284,0.0,4.3,https://maps.google.com/?cid=15445463506992764938
109,285,1.0,4.0,https://maps.google.com/?cid=10152545557831699115
110,286,1.0,4.4,https://maps.google.com/?cid=9109182982292451416
111,287,0.0,4.7,https://maps.google.com/?cid=8204567511040332915
112,288,0.0,0.0,https://maps.google.com/?cid=13730283022777828554
113,289,2.0,3.9,https://maps.google.com/?cid=15016904652534527173
114,290,2.0,4.6,https://maps.google.com/?cid=12926917907590181532
115,291,1.0,4.2,https://maps.google.com/?cid=2822534060785313921
116,292,0.0,4.6,https://maps.google.com/?cid=3995199990669966005
117,293,0.0,4.1,https://maps.google.com/?cid=16429430626429027815
118,294,0.0,2.5,https://maps.google.com/?cid=13688838763760332803
119,295,2.0,4.2,https://maps.google.com/?cid=5134644677250097608
121,296,2.0,4.3,https://maps.google.com/?cid=10339765325244285846
124,297,2.0,4.2,https://maps.google.com/?cid=14699594274468775445
127,298,0.0,4.5,https://maps.google.com/?cid=5059906808366478007
131,299,3.0,4.3,https://maps.google.com/?cid=2010461479425347329
132,300,2.0,4.1,https://maps.google.com/?cid=15311867525065196400
133,301,2.0,4.2,https://maps.google.com/?cid=11499053825859329063
134,302,3.0,4.8,https://maps.google.com/?cid=15902905406591880982
135,303,1.0,4.1,https://maps.google.com/?cid=2285368508167525817
136,304,2.0,4.5,https://maps.google.com/?cid=7542864186612435253
137,305,0.0,2.9,https://maps.google.com/?cid=280709930689141439
141,306,2.0,4.2,https://maps.google.com/?cid=12856446716172844557
142,307,2.0,4.8,https://maps.google.com/?cid=118674873805203207
143,308,2.0,4.2,https://maps.google.com/?cid=696922301125206520
144,309,2.0,4.6,https://maps.google.com/?cid=8026676250889068009
145,310,2.0,4.6,https://maps.google.com/?cid=14313584111302900758
147,311,3.0,4.5,https://maps.google.com/?cid=7363324739197531666
150,312,1.0,4.3,https://maps.google.com/?cid=12384407051815138379
155,313,1.0,4.1,https://maps.google.com/?cid=10122326925418131618
156,314,1.0,4.0,https://maps.google.com/?cid=12274501990248769343
157,315,2.0,4.3,https://maps.google.com/?cid=12695721012573951526
158,316,3.0,4.4,https://maps.google.com/?cid=8698369383597396690
159,317,2.0,4.3,https://maps.google.com/?cid=14601438557591089981
161,318,2.0,4.3,https://maps.google.com/?cid=2653008506141357613
162,319,2.0,4.2,https://maps.google.com/?cid=7167094988454700863
163,320,2.0,4.3,https://maps.google.com/?cid=5275426247078445832
164,321,2.0,4.5,https://maps.google.com/?cid=6783110233538245636
165,322,2.0,4.0,https://maps.google.com/?cid=17153642416678493823
166,323,2.0,4.0,https://maps.google.com/?cid=10861817342527451477
167,324,1.0,4.1,https://maps.google.com/?cid=2183889335912782764
168,325,2.0,4.4,https://maps.google.com/?cid=11126304044982790099
169,326,1.0,3.7,https://maps.google.com/?cid=2258772138560141029
170,327,2.0,4.4,https://maps.google.com/?cid=18359931598736756873
171,328,1.0,4.2,https://maps.google.com/?cid=7442627142242314767
172,329,2.0,4.3,https://maps.google.com/?cid=2857433055567193914
173,330,1.0,3.8,https://maps.google.com/?cid=17893380416237786228
174,331,1.0,4.2,https://maps.google.com/?cid=13931406666221406403
176,332,2.0,4.2,https://maps.google.com/?cid=16380601669167386648
178,333,2.0,4.2,https://maps.google.com/?cid=16665739729540361760
179,334,1.0,4.2,https://maps.google.com/?cid=13650809989081461147
180,335,2.0,4.3,https://maps.google.com/?cid=5644650444109517476
184,336,2.0,4.1,https://maps.google.com/?cid=16424046985039351452
186,337,2.0,4.3,https://maps.google.com/?cid=12729616493765455816
189,338,2.0,4.1,https://maps.google.com/?cid=9899497929703970778
191,339,2.0,4.4,https://maps.google.com/?cid=14537322781386900700
192,340,1.0,3.3,https://maps.google.com/?cid=17064393379209774693
194,341,2.0,4.5,https://maps.google.com/?cid=7123803697871915516
195,342,2.0,4.5,https://maps.google.com/?cid=4720051209472999457
199,343,2.0,4.5,https://maps.google.com/?cid=11441009343920357807
200,344,3.0,4.3,https://maps.google.com/?cid=3364655444061807675
201,345,1.0,4.0,https://maps.google.com/?cid=4518846399731996217
202,346,2.0,4.2,https://maps.google.com/?cid=10754937862700516367
206,347,2.0,4.4,https://maps.google.com/?cid=9296586860354090467
207,348,2.0,4.1,https://maps.google.com/?cid=9709015883823109709
208,349,2.0,4.6,https://maps.google.com/?cid=247435011653500605
209,350,1.0,2.5,https://maps.google.com/?cid=9051209140078818713
211,351,0.0,3.8,https://maps.google.com/?cid=4856935061916151672
214,352,2.0,4.4,https://maps.google.com/?cid=14120947105208346498
215,353,2.0,4.7,https://maps.google.com/?cid=2973761598898082760
220,354,1.0,4.4,https://maps.google.com/?cid=12659767435685249782
221,355,2.0,4.5,https://maps.google.com/?cid=8847421998049904706
222,356,1.0,4.5,https://maps.google.com/?cid=406314843763818184
223,357,2.0,4.2,https://maps.google.com/?cid=63874254428950135
226,358,1.0,4.3,https://maps.google.com/?cid=4059842452247152479
227,359,1.0,4.1,https://maps.google.com/?cid=10563343113283970833
229,360,1.0,4.0,https://maps.google.com/?cid=6237424852689669233
230,361,2.0,4.3,https://maps.google.com/?cid=7514560198552725678
231,362,2.0,4.2,https://maps.google.com/?cid=6887614419650032074
232,363,1.0,4.4,https://maps.google.com/?cid=8999701687235127758
234,364,0.0,4.5,https://maps.google.com/?cid=7773636960025800792
237,365,1.0,3.9,https://maps.google.com/?cid=4098005663394633247
